Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4030351613360198
75% Corpus,2,0.01,0.31,0.4071010446392247
75% Corpus,2,0.01,0.61,0.42183177333259225
75% Corpus,2,0.01,0.9099999999999999,0.36601066947837363
75% Corpus,2,0.01,symmetric,0.41197729071701755
75% Corpus,2,0.31,0.01,0.4353689619351891
75% Corpus,2,0.31,0.31,0.4330680025529275
75% Corpus,2,0.31,0.61,0.4517909131589599
75% Corpus,2,0.31,0.9099999999999999,0.4237394869782502
75% Corpus,2,0.31,symmetric,0.42623130414974186
75% Corpus,2,0.61,0.01,0.46185334117578936
75% Corpus,2,0.61,0.31,0.45781866600598764
75% Corpus,2,0.61,0.61,0.4607554165489491
75% Corpus,2,0.61,0.9099999999999999,0.4467258004259761
75% Corpus,2,0.61,symmetric,0.45254536342325097
75% Corpus,2,0.9099999999999999,0.01,0.4297221687693997
75% Corpus,2,0.9099999999999999,0.31,0.44649185386568246
75% Corpus,2,0.9099999999999999,0.61,0.42000055594995533
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.42145456915993157
75% Corpus,2,0.9099999999999999,symmetric,0.44030797467607014
75% Corpus,2,symmetric,0.01,0.4118793590641053
75% Corpus,2,symmetric,0.31,0.39848520741744153
75% Corpus,2,symmetric,0.61,0.43600013305092766
75% Corpus,2,symmetric,0.9099999999999999,0.41387669238242875
75% Corpus,2,symmetric,symmetric,0.40489948252635244
75% Corpus,2,asymmetric,0.01,0.39984050326315324
75% Corpus,2,asymmetric,0.31,0.37779731832420793
75% Corpus,2,asymmetric,0.61,0.35599039371963315
75% Corpus,2,asymmetric,0.9099999999999999,0.39603185326399576
75% Corpus,2,asymmetric,symmetric,0.41503107438537523
75% Corpus,3,0.01,0.01,0.41830919242754694
75% Corpus,3,0.01,0.31,0.40894630794090114
75% Corpus,3,0.01,0.61,0.3991858623085027
75% Corpus,3,0.01,0.9099999999999999,0.3706780986002168
75% Corpus,3,0.01,symmetric,0.40525576627689175
75% Corpus,3,0.31,0.01,0.4265804487254439
75% Corpus,3,0.31,0.31,0.4261006719337942
75% Corpus,3,0.31,0.61,0.4595660229671269
75% Corpus,3,0.31,0.9099999999999999,0.4109305528518873
75% Corpus,3,0.31,symmetric,0.42854497805931524
75% Corpus,3,0.61,0.01,0.4584635451446612
75% Corpus,3,0.61,0.31,0.45474830011854106
75% Corpus,3,0.61,0.61,0.4744575778152608
75% Corpus,3,0.61,0.9099999999999999,0.44740810451793733
75% Corpus,3,0.61,symmetric,0.47033944788594767
75% Corpus,3,0.9099999999999999,0.01,0.42492814437942794
75% Corpus,3,0.9099999999999999,0.31,0.44382133763485293
75% Corpus,3,0.9099999999999999,0.61,0.42253364392612924
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.42320247650445725
75% Corpus,3,0.9099999999999999,symmetric,0.4418640043522254
75% Corpus,3,symmetric,0.01,0.4210242184350589
75% Corpus,3,symmetric,0.31,0.3952793548596564
75% Corpus,3,symmetric,0.61,0.439659770503855
75% Corpus,3,symmetric,0.9099999999999999,0.4055685528778644
75% Corpus,3,symmetric,symmetric,0.4153516015240795
75% Corpus,3,asymmetric,0.01,0.3962429851965186
75% Corpus,3,asymmetric,0.31,0.37210593914112466
75% Corpus,3,asymmetric,0.61,0.36653191070585456
75% Corpus,3,asymmetric,0.9099999999999999,0.3638494150769927
75% Corpus,3,asymmetric,symmetric,0.4193714444944664
75% Corpus,4,0.01,0.01,0.4042174436528866
75% Corpus,4,0.01,0.31,0.40287745611971104
75% Corpus,4,0.01,0.61,0.37676597405451134
75% Corpus,4,0.01,0.9099999999999999,0.371665535460099
75% Corpus,4,0.01,symmetric,0.3951964580706341
75% Corpus,4,0.31,0.01,0.4364578634774433
75% Corpus,4,0.31,0.31,0.43560329868455216
75% Corpus,4,0.31,0.61,0.4660260900994069
75% Corpus,4,0.31,0.9099999999999999,0.4263360120552554
75% Corpus,4,0.31,symmetric,0.4324372720386653
75% Corpus,4,0.61,0.01,0.4549421077474841
75% Corpus,4,0.61,0.31,0.4651098246809596
75% Corpus,4,0.61,0.61,0.45814901675643205
75% Corpus,4,0.61,0.9099999999999999,0.4412049591017945
75% Corpus,4,0.61,symmetric,0.46971100342965955
75% Corpus,4,0.9099999999999999,0.01,0.4307370434637082
75% Corpus,4,0.9099999999999999,0.31,0.44095849747156846
75% Corpus,4,0.9099999999999999,0.61,0.41094356319483205
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4157034983527149
75% Corpus,4,0.9099999999999999,symmetric,0.4414908911333641
75% Corpus,4,symmetric,0.01,0.4183836753157407
75% Corpus,4,symmetric,0.31,0.3966545654216717
75% Corpus,4,symmetric,0.61,0.45077868991831727
75% Corpus,4,symmetric,0.9099999999999999,0.41279884897613356
75% Corpus,4,symmetric,symmetric,0.42031418857982417
75% Corpus,4,asymmetric,0.01,0.3952340701985756
75% Corpus,4,asymmetric,0.31,0.3782601697670663
75% Corpus,4,asymmetric,0.61,0.3568377416499991
75% Corpus,4,asymmetric,0.9099999999999999,0.4243335292582244
75% Corpus,4,asymmetric,symmetric,0.4271335485623998
75% Corpus,5,0.01,0.01,0.41569924496413463
75% Corpus,5,0.01,0.31,0.3961654302169095
75% Corpus,5,0.01,0.61,0.42150334949927776
75% Corpus,5,0.01,0.9099999999999999,0.36982190278736427
75% Corpus,5,0.01,symmetric,0.41731629035404055
75% Corpus,5,0.31,0.01,0.4113145025250481
75% Corpus,5,0.31,0.31,0.4245865778508563
75% Corpus,5,0.31,0.61,0.44713116117238705
75% Corpus,5,0.31,0.9099999999999999,0.4251601900001084
75% Corpus,5,0.31,symmetric,0.44303990797260234
75% Corpus,5,0.61,0.01,0.4646532873581166
75% Corpus,5,0.61,0.31,0.4541951430164808
75% Corpus,5,0.61,0.61,0.45141206896593494
75% Corpus,5,0.61,0.9099999999999999,0.4495947529111766
75% Corpus,5,0.61,symmetric,0.46974735346877916
75% Corpus,5,0.9099999999999999,0.01,0.4177940773127469
75% Corpus,5,0.9099999999999999,0.31,0.4395566936422184
75% Corpus,5,0.9099999999999999,0.61,0.43193648584305155
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.41275022542852435
75% Corpus,5,0.9099999999999999,symmetric,0.43742216754989316
75% Corpus,5,symmetric,0.01,0.42819483612648784
75% Corpus,5,symmetric,0.31,0.3846903894478034
75% Corpus,5,symmetric,0.61,0.4305828596917891
75% Corpus,5,symmetric,0.9099999999999999,0.41091990802716893
75% Corpus,5,symmetric,symmetric,0.4061533616464457
75% Corpus,5,asymmetric,0.01,0.40165626319679654
75% Corpus,5,asymmetric,0.31,0.3647238633445615
75% Corpus,5,asymmetric,0.61,0.3738179781854407
75% Corpus,5,asymmetric,0.9099999999999999,0.379294321225239
75% Corpus,5,asymmetric,symmetric,0.42226159505841865
75% Corpus,6,0.01,0.01,0.4218116027745392
75% Corpus,6,0.01,0.31,0.39915911540638016
75% Corpus,6,0.01,0.61,0.41591649055340374
75% Corpus,6,0.01,0.9099999999999999,0.38361936018771237
75% Corpus,6,0.01,symmetric,0.42641384232262636
75% Corpus,6,0.31,0.01,0.42271838239354775
75% Corpus,6,0.31,0.31,0.4323853661243132
75% Corpus,6,0.31,0.61,0.43851586629311995
75% Corpus,6,0.31,0.9099999999999999,0.4318247355525015
75% Corpus,6,0.31,symmetric,0.4269641400834505
75% Corpus,6,0.61,0.01,0.4449366187667886
75% Corpus,6,0.61,0.31,0.47220319424088786
75% Corpus,6,0.61,0.61,0.44861614734854954
75% Corpus,6,0.61,0.9099999999999999,0.4563842342322542
75% Corpus,6,0.61,symmetric,0.45451015170818126
75% Corpus,6,0.9099999999999999,0.01,0.4217513696201139
75% Corpus,6,0.9099999999999999,0.31,0.43872157402803913
75% Corpus,6,0.9099999999999999,0.61,0.4287090348626337
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4167857569645369
75% Corpus,6,0.9099999999999999,symmetric,0.44006668879823874
75% Corpus,6,symmetric,0.01,0.4161768399274962
75% Corpus,6,symmetric,0.31,0.40199804378906023
75% Corpus,6,symmetric,0.61,0.41733876029977096
75% Corpus,6,symmetric,0.9099999999999999,0.4063361209753687
75% Corpus,6,symmetric,symmetric,0.4116141885138946
75% Corpus,6,asymmetric,0.01,0.39946787487201696
75% Corpus,6,asymmetric,0.31,0.36593140601680163
75% Corpus,6,asymmetric,0.61,0.3848665914826643
75% Corpus,6,asymmetric,0.9099999999999999,0.36971198563426944
75% Corpus,6,asymmetric,symmetric,0.4207375534732137
75% Corpus,7,0.01,0.01,0.4152435872942902
75% Corpus,7,0.01,0.31,0.38738875682983626
75% Corpus,7,0.01,0.61,0.38979875410204146
75% Corpus,7,0.01,0.9099999999999999,0.3642769129719472
75% Corpus,7,0.01,symmetric,0.41380459853623447
75% Corpus,7,0.31,0.01,0.42397938935782653
75% Corpus,7,0.31,0.31,0.4315177969545806
75% Corpus,7,0.31,0.61,0.4596501136052127
75% Corpus,7,0.31,0.9099999999999999,0.4132815829581248
75% Corpus,7,0.31,symmetric,0.43785699178158033
75% Corpus,7,0.61,0.01,0.4463469969236636
75% Corpus,7,0.61,0.31,0.4743561652502867
75% Corpus,7,0.61,0.61,0.4714060996149799
75% Corpus,7,0.61,0.9099999999999999,0.44619345213068656
75% Corpus,7,0.61,symmetric,0.46368682847350173
75% Corpus,7,0.9099999999999999,0.01,0.42446117733865163
75% Corpus,7,0.9099999999999999,0.31,0.43227573685650267
75% Corpus,7,0.9099999999999999,0.61,0.4345441841318565
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.42087525628421546
75% Corpus,7,0.9099999999999999,symmetric,0.4403160762705028
75% Corpus,7,symmetric,0.01,0.4054170541803427
75% Corpus,7,symmetric,0.31,0.3889687803778393
75% Corpus,7,symmetric,0.61,0.42319775296646733
75% Corpus,7,symmetric,0.9099999999999999,0.401594293856055
75% Corpus,7,symmetric,symmetric,0.40656836764708776
75% Corpus,7,asymmetric,0.01,0.40579436644609557
75% Corpus,7,asymmetric,0.31,0.36946554093934214
75% Corpus,7,asymmetric,0.61,0.3655296749955709
75% Corpus,7,asymmetric,0.9099999999999999,0.3998820798649799
75% Corpus,7,asymmetric,symmetric,0.4209653626639187
75% Corpus,8,0.01,0.01,0.4111266872782099
75% Corpus,8,0.01,0.31,0.38819737972428414
75% Corpus,8,0.01,0.61,0.3776039607283729
75% Corpus,8,0.01,0.9099999999999999,0.4043094498325642
75% Corpus,8,0.01,symmetric,0.4138165776970171
75% Corpus,8,0.31,0.01,0.43383109200099723
75% Corpus,8,0.31,0.31,0.43662322303465845
75% Corpus,8,0.31,0.61,0.4577400450681758
75% Corpus,8,0.31,0.9099999999999999,0.4210484244249141
75% Corpus,8,0.31,symmetric,0.4232520737782985
75% Corpus,8,0.61,0.01,0.46079158805994924
75% Corpus,8,0.61,0.31,0.47201388024121316
75% Corpus,8,0.61,0.61,0.47260240720383734
75% Corpus,8,0.61,0.9099999999999999,0.4502220137886764
75% Corpus,8,0.61,symmetric,0.4720772294722848
75% Corpus,8,0.9099999999999999,0.01,0.4152408149135539
75% Corpus,8,0.9099999999999999,0.31,0.43806487544825484
75% Corpus,8,0.9099999999999999,0.61,0.43563436374457554
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.409243444361372
75% Corpus,8,0.9099999999999999,symmetric,0.42765467486628533
75% Corpus,8,symmetric,0.01,0.4102741699791794
75% Corpus,8,symmetric,0.31,0.40186252649929505
75% Corpus,8,symmetric,0.61,0.41939760531927545
75% Corpus,8,symmetric,0.9099999999999999,0.3917613057388295
75% Corpus,8,symmetric,symmetric,0.40030101584338296
75% Corpus,8,asymmetric,0.01,0.37139159160459945
75% Corpus,8,asymmetric,0.31,0.38009242384153913
75% Corpus,8,asymmetric,0.61,0.3603358072633189
75% Corpus,8,asymmetric,0.9099999999999999,0.36929594963433754
75% Corpus,8,asymmetric,symmetric,0.41703498657301197
75% Corpus,9,0.01,0.01,0.3828653030857354
75% Corpus,9,0.01,0.31,0.40436059390044443
75% Corpus,9,0.01,0.61,0.40798984543366557
75% Corpus,9,0.01,0.9099999999999999,0.39229877811380653
75% Corpus,9,0.01,symmetric,0.4117669555040502
75% Corpus,9,0.31,0.01,0.43695558166798304
75% Corpus,9,0.31,0.31,0.4133029833207589
