Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.38428858296744944
75% Corpus,4,0.01,0.31,0.39496595323835076
75% Corpus,4,0.01,0.61,0.38720894966682445
75% Corpus,4,0.01,0.9099999999999999,0.3723814776200908
75% Corpus,4,0.01,symmetric,0.39294808050514324
75% Corpus,4,0.31,0.01,0.36151042691850455
75% Corpus,4,0.31,0.31,0.38177616029889255
75% Corpus,4,0.31,0.61,0.4079265664726899
75% Corpus,4,0.31,0.9099999999999999,0.46630165040953775
75% Corpus,4,0.31,symmetric,0.38403831248774695
75% Corpus,4,0.61,0.01,0.34755211798950103
75% Corpus,4,0.61,0.31,0.3874359255844365
75% Corpus,4,0.61,0.61,0.4276407929787217
75% Corpus,4,0.61,0.9099999999999999,0.4150474195295396
75% Corpus,4,0.61,symmetric,0.37535207522702796
75% Corpus,4,0.9099999999999999,0.01,0.32888713376420114
75% Corpus,4,0.9099999999999999,0.31,0.3382572259265174
75% Corpus,4,0.9099999999999999,0.61,0.3793875347785276
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.412832965285644
75% Corpus,4,0.9099999999999999,symmetric,0.3413608522540879
75% Corpus,4,symmetric,0.01,0.4028856359981325
75% Corpus,4,symmetric,0.31,0.3985890286078516
75% Corpus,4,symmetric,0.61,0.44017241722960343
75% Corpus,4,symmetric,0.9099999999999999,0.4611439457512356
75% Corpus,4,symmetric,symmetric,0.3559919353207414
75% Corpus,4,asymmetric,0.01,0.3649220518822037
75% Corpus,4,asymmetric,0.31,0.3664338527941683
75% Corpus,4,asymmetric,0.61,0.3920192779098862
75% Corpus,4,asymmetric,0.9099999999999999,0.42866989339054234
75% Corpus,4,asymmetric,symmetric,0.36852618785083513
75% Corpus,5,0.01,0.01,0.37970107295478295
75% Corpus,5,0.01,0.31,0.3768985484871004
75% Corpus,5,0.01,0.61,0.403729016611787
75% Corpus,5,0.01,0.9099999999999999,0.38685910955352937
75% Corpus,5,0.01,symmetric,0.3844643562305544
